ST Code,STATE NAME,DT Code,DISTRICT NAME,SDT Code,SUB-DISTRICT NAME,Town Code,Area Name
24,GUJARAT,0,GUJARAT,0,GUJARAT,0,GUJARAT
24,GUJARAT,468,Kachchh,0,Kachchh,0,Kachchh
24,GUJARAT,468,Kachchh,3722,Lakhpat,0,Lakhpat
24,GUJARAT,468,Kachchh,3723,Rapar,0,Rapar
24,GUJARAT,468,Kachchh,3723,Rapar,802442,Rapar (M)
24,GUJARAT,468,Kachchh,3724,Bhachau,0,Bhachau
24,GUJARAT,468,Kachchh,3724,Bhachau,802443,Bhachau (M)
24,GUJARAT,468,Kachchh,3725,Anjar,0,Anjar
24,GUJARAT,468,Kachchh,3725,Anjar,802444,Anjar (M)
24,GUJARAT,468,Kachchh,3726,Bhuj,0,Bhuj
24,GUJARAT,468,Kachchh,3726,Bhuj,802445,Bhuj (M + OG)
24,GUJARAT,468,Kachchh,3726,Bhuj,802445,Bhuj (M)
24,GUJARAT,468,Kachchh,3727,Nakhatrana,0,Nakhatrana
24,GUJARAT,468,Kachchh,3728,Abdasa,0,Abdasa
24,GUJARAT,468,Kachchh,3729,Mandvi,0,Mandvi
24,GUJARAT,468,Kachchh,3729,Mandvi,802446,Mandvi (M)
24,GUJARAT,468,Kachchh,3730,Mundra,0,Mundra
24,GUJARAT,468,Kachchh,3731,Gandhidham,0,Gandhidham
24,GUJARAT,468,Kachchh,3731,Gandhidham,802447,Gandhidham (M)
24,GUJARAT,469,Banas Kantha,0,Banas Kantha,0,Banas Kantha
24,GUJARAT,469,Banas Kantha,3732,Vav,0,Vav
24,GUJARAT,469,Banas Kantha,3733,Tharad,0,Tharad
24,GUJARAT,469,Banas Kantha,3733,Tharad,802448,Tharad (M)
24,GUJARAT,469,Banas Kantha,3734,Dhanera,0,Dhanera
24,GUJARAT,469,Banas Kantha,3734,Dhanera,802449,Dhanera (M)
24,GUJARAT,469,Banas Kantha,3735,Dantiwada,0,Dantiwada
24,GUJARAT,469,Banas Kantha,3736,Amirgadh,0,Amirgadh
24,GUJARAT,469,Banas Kantha,3737,Danta,0,Danta
24,GUJARAT,469,Banas Kantha,3738,Vadgam,0,Vadgam
24,GUJARAT,469,Banas Kantha,3739,Palanpur,0,Palanpur
24,GUJARAT,469,Banas Kantha,3739,Palanpur,802450,Palanpur (M + OG)
24,GUJARAT,469,Banas Kantha,3739,Palanpur,802450,Palanpur (M)
24,GUJARAT,469,Banas Kantha,3740,Deesa,0,Deesa
24,GUJARAT,469,Banas Kantha,3740,Deesa,802451,Deesa (M)
24,GUJARAT,469,Banas Kantha,3741,Deodar,0,Deodar
24,GUJARAT,469,Banas Kantha,3742,Bhabhar,0,Bhabhar
24,GUJARAT,469,Banas Kantha,3742,Bhabhar,802452,Bhabhar (M)
24,GUJARAT,469,Banas Kantha,3743,Kankrej,0,Kankrej
24,GUJARAT,469,Banas Kantha,3743,Kankrej,802453,Thara (M)
24,GUJARAT,470,Patan  ,0,Patan  ,0,Patan  
24,GUJARAT,470,Patan  ,3744,Santalpur,0,Santalpur
24,GUJARAT,470,Patan  ,3745,Radhanpur,0,Radhanpur
24,GUJARAT,470,Patan  ,3745,Radhanpur,802454,Radhanpur (M)
24,GUJARAT,470,Patan  ,3746,Sidhpur,0,Sidhpur
24,GUJARAT,470,Patan  ,3746,Sidhpur,802455,Sidhpur (M + OG)
24,GUJARAT,470,Patan  ,3746,Sidhpur,802455,Sidhpur (M)
24,GUJARAT,470,Patan  ,3747,Patan,0,Patan
24,GUJARAT,470,Patan  ,3747,Patan,802456,Patan (M + OG)
24,GUJARAT,470,Patan  ,3747,Patan,802456,Patan (M)
24,GUJARAT,470,Patan  ,3748,Harij,0,Harij
24,GUJARAT,470,Patan  ,3748,Harij,802457,Harij (M)
24,GUJARAT,470,Patan  ,3749,Sami,0,Sami
24,GUJARAT,470,Patan  ,3750,Chanasma,0,Chanasma
24,GUJARAT,470,Patan  ,3750,Chanasma,802458,Chanasma (M)
24,GUJARAT,471,Mahesana,0,Mahesana,0,Mahesana
24,GUJARAT,471,Mahesana,3751,Satlasana,0,Satlasana
24,GUJARAT,471,Mahesana,3752,Kheralu,0,Kheralu
24,GUJARAT,471,Mahesana,3752,Kheralu,802459,Kheralu (M)
24,GUJARAT,471,Mahesana,3753,Unjha,0,Unjha
24,GUJARAT,471,Mahesana,3753,Unjha,802460,Unjha (M)
24,GUJARAT,471,Mahesana,3754,Visnagar,0,Visnagar
24,GUJARAT,471,Mahesana,3754,Visnagar,802461,Visnagar (M + OG)
24,GUJARAT,471,Mahesana,3754,Visnagar,802461,Visnagar (M)
24,GUJARAT,471,Mahesana,3755,Vadnagar,0,Vadnagar
24,GUJARAT,471,Mahesana,3755,Vadnagar,802462,Vadnagar (M)
24,GUJARAT,471,Mahesana,3756,Vijapur,0,Vijapur
24,GUJARAT,471,Mahesana,3756,Vijapur,802463,Vijapur (M + OG)
24,GUJARAT,471,Mahesana,3756,Vijapur,802463,Vijapur (M)
24,GUJARAT,471,Mahesana,3757,Mahesana,0,Mahesana
24,GUJARAT,471,Mahesana,3757,Mahesana,802464,Mahesana (M + OG)
24,GUJARAT,471,Mahesana,3757,Mahesana,802464,Mahesana (M)
24,GUJARAT,471,Mahesana,3758,Becharaji,0,Becharaji
24,GUJARAT,471,Mahesana,3759,Kadi,0,Kadi
24,GUJARAT,471,Mahesana,3759,Kadi,802465,Kadi (M + OG)
24,GUJARAT,471,Mahesana,3759,Kadi,802465,Kadi (M)
24,GUJARAT,472,Sabar Kantha,0,Sabar Kantha,0,Sabar Kantha
24,GUJARAT,472,Sabar Kantha,3760,Khedbrahma,0,Khedbrahma
24,GUJARAT,472,Sabar Kantha,3760,Khedbrahma,802466,Khedbrahma (M)
24,GUJARAT,472,Sabar Kantha,3761,Vijaynagar,0,Vijaynagar
24,GUJARAT,472,Sabar Kantha,3762,Vadali,0,Vadali
24,GUJARAT,472,Sabar Kantha,3762,Vadali,802467,Vadali (M)
24,GUJARAT,472,Sabar Kantha,3763,Idar,0,Idar
24,GUJARAT,472,Sabar Kantha,3763,Idar,802468,Idar (M + OG)
24,GUJARAT,472,Sabar Kantha,3763,Idar,802468,Idar (M)
24,GUJARAT,472,Sabar Kantha,3764,Bhiloda,0,Bhiloda
24,GUJARAT,472,Sabar Kantha,3765,Meghraj,0,Meghraj
24,GUJARAT,472,Sabar Kantha,3766,Himatnagar,0,Himatnagar
24,GUJARAT,472,Sabar Kantha,3766,Himatnagar,802469,Himatnagar (M)
24,GUJARAT,472,Sabar Kantha,3767,Prantij,0,Prantij
24,GUJARAT,472,Sabar Kantha,3767,Prantij,802470,Prantij (M)
24,GUJARAT,472,Sabar Kantha,3768,Talod,0,Talod
24,GUJARAT,472,Sabar Kantha,3768,Talod,802471,Talod (M)
24,GUJARAT,472,Sabar Kantha,3769,Modasa,0,Modasa
24,GUJARAT,472,Sabar Kantha,3769,Modasa,802472,Modasa (M)
24,GUJARAT,472,Sabar Kantha,3770,Dhansura,0,Dhansura
24,GUJARAT,472,Sabar Kantha,3771,Malpur,0,Malpur
24,GUJARAT,472,Sabar Kantha,3772,Bayad,0,Bayad
24,GUJARAT,472,Sabar Kantha,3772,Bayad,802473,Bayad (M)
24,GUJARAT,473,Gandhinagar,0,Gandhinagar,0,Gandhinagar
24,GUJARAT,473,Gandhinagar,3773,Kalol,0,Kalol
24,GUJARAT,473,Gandhinagar,3773,Kalol,802474,Chhatral INA (INA)
24,GUJARAT,473,Gandhinagar,3773,Kalol,802475,Kalol (M + OG)
24,GUJARAT,473,Gandhinagar,3773,Kalol,802475,Kalol (M)
24,GUJARAT,473,Gandhinagar,3773,Kalol,802476,Kalol INA (INA)
24,GUJARAT,473,Gandhinagar,3774,Mansa,0,Mansa
24,GUJARAT,473,Gandhinagar,3774,Mansa,802477,Mansa (M)
24,GUJARAT,473,Gandhinagar,3775,Gandhinagar,0,Gandhinagar
24,GUJARAT,473,Gandhinagar,3775,Gandhinagar,802478,Pethapur (M)
24,GUJARAT,473,Gandhinagar,3775,Gandhinagar,802479,Gandhinagar (NA + OG)
24,GUJARAT,473,Gandhinagar,3775,Gandhinagar,802479,Gandhinagar (NA)
24,GUJARAT,473,Gandhinagar,3776,Dehgam,0,Dehgam
24,GUJARAT,473,Gandhinagar,3776,Dehgam,802480,Dehgam (M)
24,GUJARAT,474,Ahmadabad,0,Ahmadabad,0,Ahmadabad
24,GUJARAT,474,Ahmadabad,3777,Mandal,0,Mandal
24,GUJARAT,474,Ahmadabad,3778,Detroj-Rampura,0,Detroj-Rampura
24,GUJARAT,474,Ahmadabad,3779,Viramgam,0,Viramgam
24,GUJARAT,474,Ahmadabad,3779,Viramgam,802481,Viramgam (M)
24,GUJARAT,474,Ahmadabad,3780,Sanand,0,Sanand
24,GUJARAT,474,Ahmadabad,3780,Sanand,802482,Sanand (M + OG)
24,GUJARAT,474,Ahmadabad,3780,Sanand,802482,Sanand (M)
24,GUJARAT,474,Ahmadabad,3781,Ahmadabad City,0,Ahmadabad City
24,GUJARAT,474,Ahmadabad,3781,Ahmadabad City,802483,Ahmadabad Cantonment (CB)
24,GUJARAT,474,Ahmadabad,0,Ahmadabad,802484,Ahmadabad (M Corp. + OG)
24,GUJARAT,474,Ahmadabad,3781,Ahmadabad City,802484,Ahmadabad (M Corp. + OG) (Part)
24,GUJARAT,474,Ahmadabad,3782,Daskroi,0,Daskroi
24,GUJARAT,474,Ahmadabad,3782,Daskroi,802484,Ahmadabad (M Corp. + OG) (Part)
24,GUJARAT,474,Ahmadabad,3782,Daskroi,802485,Bareja (M)
24,GUJARAT,474,Ahmadabad,3783,Dholka,0,Dholka
24,GUJARAT,474,Ahmadabad,3783,Dholka,802486,Dholka (M + OG)
24,GUJARAT,474,Ahmadabad,3783,Dholka,802486,Dholka (M)
24,GUJARAT,474,Ahmadabad,3784,Bavla,0,Bavla
24,GUJARAT,474,Ahmadabad,3784,Bavla,802487,Bavla (M + OG)
24,GUJARAT,474,Ahmadabad,3784,Bavla,802487,Bavla (M)
24,GUJARAT,474,Ahmadabad,3785,Ranpur,0,Ranpur
24,GUJARAT,474,Ahmadabad,3786,Barwala,0,Barwala
24,GUJARAT,474,Ahmadabad,3786,Barwala,802488,Barwala (M)
24,GUJARAT,474,Ahmadabad,3787,Dhandhuka,0,Dhandhuka
24,GUJARAT,474,Ahmadabad,3787,Dhandhuka,802489,Dhandhuka (M)
24,GUJARAT,475,Surendranagar,0,Surendranagar,0,Surendranagar
24,GUJARAT,475,Surendranagar,3788,Halvad,0,Halvad
24,GUJARAT,475,Surendranagar,3788,Halvad,802490,Halvad (M)
24,GUJARAT,475,Surendranagar,3789,Dhrangadhra,0,Dhrangadhra
24,GUJARAT,475,Surendranagar,3789,Dhrangadhra,802491,Dhrangadhra (M)
24,GUJARAT,475,Surendranagar,3790,Dasada,0,Dasada
24,GUJARAT,475,Surendranagar,3790,Dasada,802492,Patdi (M)
24,GUJARAT,475,Surendranagar,3791,Lakhtar,0,Lakhtar
24,GUJARAT,475,Surendranagar,3792,Wadhwan,0,Wadhwan
24,GUJARAT,475,Surendranagar,3792,Wadhwan,802493,Surendranagar Dudhrej (M)
24,GUJARAT,475,Surendranagar,3792,Wadhwan,802494,Wadhwan (M)
24,GUJARAT,475,Surendranagar,3793,Muli,0,Muli
24,GUJARAT,475,Surendranagar,3794,Chotila,0,Chotila
24,GUJARAT,475,Surendranagar,3794,Chotila,802495,Thangadh (M)
24,GUJARAT,475,Surendranagar,3794,Chotila,802496,Chotila (M)
24,GUJARAT,475,Surendranagar,3795,Sayla,0,Sayla
24,GUJARAT,475,Surendranagar,3796,Chuda,0,Chuda
24,GUJARAT,475,Surendranagar,3797,Limbdi,0,Limbdi
24,GUJARAT,475,Surendranagar,3797,Limbdi,802497,Limbdi (M)
24,GUJARAT,476,Rajkot,0,Rajkot,0,Rajkot
24,GUJARAT,476,Rajkot,3798,Maliya,0,Maliya
24,GUJARAT,476,Rajkot,3798,Maliya,802498,Maliya (M)
24,GUJARAT,476,Rajkot,3799,Morvi,0,Morvi
24,GUJARAT,476,Rajkot,3799,Morvi,802499,Morvi (M + OG)
24,GUJARAT,476,Rajkot,3799,Morvi,802499,Morvi (M)
24,GUJARAT,476,Rajkot,3800,Tankara,0,Tankara
24,GUJARAT,476,Rajkot,3801,Wankaner,0,Wankaner
24,GUJARAT,476,Rajkot,3801,Wankaner,802500,Wankaner (M)
24,GUJARAT,476,Rajkot,3802,Paddhari,0,Paddhari
24,GUJARAT,476,Rajkot,3803,Rajkot,0,Rajkot
24,GUJARAT,476,Rajkot,3803,Rajkot,802501,Rajkot (M Corp. + OG)
24,GUJARAT,476,Rajkot,3803,Rajkot,802501,Rajkot (M Corp.)
24,GUJARAT,476,Rajkot,3804,Lodhika,0,Lodhika
24,GUJARAT,476,Rajkot,3804,Lodhika,802502,Lodhika (INA)
24,GUJARAT,476,Rajkot,3805,Kotda Sangani,0,Kotda Sangani
24,GUJARAT,476,Rajkot,3806,Jasdan,0,Jasdan
24,GUJARAT,476,Rajkot,3806,Jasdan,802503,Jasdan (M)
24,GUJARAT,476,Rajkot,3807,Gondal,0,Gondal
24,GUJARAT,476,Rajkot,3807,Gondal,802504,Gondal (M)
24,GUJARAT,476,Rajkot,3809,Upleta,0,Upleta
24,GUJARAT,476,Rajkot,3809,Upleta,802505,Bhayavadar (M)
24,GUJARAT,476,Rajkot,3809,Upleta,802506,Upleta (M)
24,GUJARAT,476,Rajkot,3810,Dhoraji,0,Dhoraji
24,GUJARAT,476,Rajkot,3810,Dhoraji,802507,Dhoraji (M)
24,GUJARAT,476,Rajkot,3811,Jetpur,0,Jetpur
24,GUJARAT,476,Rajkot,3811,Jetpur,802508,Jetpur Navagadh (M)
24,GUJARAT,477,Jamnagar,0,Jamnagar,0,Jamnagar
24,GUJARAT,477,Jamnagar,3812,Okhamandal,0,Okhamandal
24,GUJARAT,477,Jamnagar,3812,Okhamandal,802509,Okha (M)
24,GUJARAT,477,Jamnagar,3812,Okhamandal,802510,Dwarka (M)
24,GUJARAT,477,Jamnagar,3813,Khambhalia,0,Khambhalia
24,GUJARAT,477,Jamnagar,3813,Khambhalia,802511,Salaya (M)
24,GUJARAT,477,Jamnagar,3813,Khambhalia,802512,Khambhalia (M)
24,GUJARAT,477,Jamnagar,3814,Jamnagar,0,Jamnagar
24,GUJARAT,477,Jamnagar,3814,Jamnagar,802513,Sikka (M)
24,GUJARAT,477,Jamnagar,3814,Jamnagar,802514,GSFC (Motikhavdi Sikka) (INA)
24,GUJARAT,477,Jamnagar,3814,Jamnagar,802515,Reliance Complex (INA)
24,GUJARAT,477,Jamnagar,3814,Jamnagar,802516,Jamnagar (M Corp. + OG)
24,GUJARAT,477,Jamnagar,3814,Jamnagar,802516,Jamnagar (M Corp.)
24,GUJARAT,477,Jamnagar,3815,Jodiya,0,Jodiya
24,GUJARAT,477,Jamnagar,3816,Dhrol,0,Dhrol
24,GUJARAT,477,Jamnagar,3816,Dhrol,802517,Dhrol (M)
24,GUJARAT,477,Jamnagar,3817,Kalavad,0,Kalavad
24,GUJARAT,477,Jamnagar,3817,Kalavad,802518,Kalavad (M)
24,GUJARAT,477,Jamnagar,3818,Lalpur,0,Lalpur
24,GUJARAT,477,Jamnagar,3819,Kalyanpur,0,Kalyanpur
24,GUJARAT,477,Jamnagar,3819,Kalyanpur,802519,Raval (M)
24,GUJARAT,477,Jamnagar,3820,Bhanvad,0,Bhanvad
24,GUJARAT,477,Jamnagar,3820,Bhanvad,802520,Bhanvad (M)
24,GUJARAT,477,Jamnagar,3821,Jamjodhpur,0,Jamjodhpur
24,GUJARAT,477,Jamnagar,3821,Jamjodhpur,802521,Jamjodhpur (M)
24,GUJARAT,478,Porbandar ,0,Porbandar ,0,Porbandar 
24,GUJARAT,478,Porbandar ,3822,Porbandar,0,Porbandar
24,GUJARAT,478,Porbandar ,3822,Porbandar,802522,Porbandar (M + OG)
24,GUJARAT,478,Porbandar ,3822,Porbandar,802522,Porbandar (M)
24,GUJARAT,478,Porbandar ,3822,Porbandar,802523,Chhaya (M)
24,GUJARAT,478,Porbandar ,3823,Ranavav,0,Ranavav
24,GUJARAT,478,Porbandar ,3823,Ranavav,802524,Ranavav (M)
24,GUJARAT,478,Porbandar ,3824,Kutiyana,0,Kutiyana
24,GUJARAT,478,Porbandar ,3824,Kutiyana,802525,Kutiyana (M)
24,GUJARAT,479,Junagadh,0,Junagadh,0,Junagadh
24,GUJARAT,479,Junagadh,3825,Manavadar,0,Manavadar
24,GUJARAT,479,Junagadh,3825,Manavadar,802526,Bantwa (M)
24,GUJARAT,479,Junagadh,3825,Manavadar,802527,Manavadar (M)
24,GUJARAT,479,Junagadh,3826,Vanthali,0,Vanthali
24,GUJARAT,479,Junagadh,3826,Vanthali,802528,Vanthali (M)
24,GUJARAT,479,Junagadh,3827,Junagadh,0,Junagadh
24,GUJARAT,479,Junagadh,3827,Junagadh,802529,Junagadh (M Corp.)
24,GUJARAT,479,Junagadh,3828,Bhesan,0,Bhesan
24,GUJARAT,479,Junagadh,3829,Visavadar,0,Visavadar
24,GUJARAT,479,Junagadh,3829,Visavadar,802530,Visavadar (M)
24,GUJARAT,479,Junagadh,3830,Mendarda,0,Mendarda
24,GUJARAT,479,Junagadh,3831,Keshod,0,Keshod
